Elementos,Nodo_1,Nodo_2,Nodo_3,Nodo_4,Desplazamiento(x1),Desplazamiento(y1),Desplazamiento(x2),Desplazamiento(y2),Desplazamiento(x3),Desplazamiento(y3),Desplazamiento(x4),Desplazamiento(y4),Tensiones(VON),Tensiones(XX1),Tensiones(XX2),Tensiones(YY1),Tensiones(YY2),Tensiones(XY1),Tensiones(XY2),Deformaciones(VON),Deformacones(XX1),Deformaciones(XX2),Deformaciones(YY1),Deformaciones(YY2),Deformaciones(XY1),Deformaciones(XY2)
78,39,42,44,38,4.32818E-04,-1.07123E-18,4.33875E-04,-7.68646E-05,3.41171E-04,-7.02415E-05,3.39937E-04,-9.67119E-19,2.78189E-01,3.50428E-03,3.50428E-03,-6.84915E-02,-6.84915E-02,-1.55398E-01,-1.55398E-01,1.14251E-06,1.14532E-07,1.14532E-07,-3.31156E-07,-3.31156E-07,-1.92398E-06,-1.92398E-06
79,38,44,34,35,3.39937E-04,-9.67119E-19,3.41171E-04,-7.02415E-05,2.55232E-04,-6.21996E-05,2.53918E-04,-8.65189E-19,2.89119E-01,1.56011E-03,1.56011E-03,-8.39719E-02,-8.39719E-02,-1.59588E-01,-1.59588E-01,1.18455E-06,1.27389E-07,1.27389E-07,-4.02095E-07,-4.02095E-07,-1.97585E-06,-1.97585E-06
80,11,45,43,10,3.49780E-04,-2.26604E-04,3.44456E-04,-1.44425E-04,4.36873E-04,-1.56880E-04,4.41178E-04,-2.45032E-04,3.38529E-01,4.20150E-03,4.20150E-03,-3.23004E-01,-3.23004E-01,-5.44534E-02,-5.44534E-02,1.28242E-06,4.81441E-07,4.81441E-07,-1.54412E-06,-1.54412E-06,-6.74185E-07,-6.74185E-07
81,45,44,42,43,3.44456E-04,-1.44425E-04,3.41171E-04,-7.02415E-05,4.33875E-04,-7.68646E-05,4.36873E-04,-1.56880E-04,2.95740E-01,6.46651E-03,6.46651E-03,-1.98373E-01,-1.98373E-01,-1.24881E-01,-1.24881E-01,1.17401E-06,3.14183E-07,3.14183E-07,-9.53871E-07,-9.53871E-07,-1.54614E-06,-1.54614E-06
82,12,33,45,11,2.65896E-04,-2.02683E-04,2.59260E-04,-1.28506E-04,3.44456E-04,-1.44425E-04,3.49780E-04,-2.26604E-04,4.27698E-01,9.04479E-05,9.04479E-05,-4.18289E-01,-4.18289E-01,-5.13889E-02,-5.13889E-02,1.60836E-06,5.97986E-07,5.97986E-07,-1.99198E-06,-1.99198E-06,-6.36243E-07,-6.36243E-07
83,33,34,44,45,2.59260E-04,-1.28506E-04,2.55232E-04,-6.21996E-05,3.41171E-04,-7.02415E-05,3.44456E-04,-1.44425E-04,3.30742E-01,1.45100E-03,1.45100E-03,-2.51152E-01,-2.51152E-01,-1.23755E-01,-1.23755E-01,1.29407E-06,3.65698E-07,3.65698E-07,-1.19803E-06,-1.19803E-06,-1.53221E-06,-1.53221E-06
84,4,5,46,41,7.65022E-04,-1.27089E-18,7.32803E-04,-8.95669E-05,6.35278E-04,-8.95768E-05,6.29917E-04,-1.14770E-18,4.64581E-01,-3.09866E-01,-3.09866E-01,-9.28563E-02,-9.28563E-02,-2.16001E-01,-2.16001E-01,1.78487E-06,-1.34290E-06,-1.34290E-06,4.92059E-10,4.92059E-10,-2.67430E-06,-2.67430E-06
85,41,46,47,40,6.29917E-04,-1.14770E-18,6.35278E-04,-8.95768E-05,5.31335E-04,-8.24896E-05,5.30413E-04,-1.10063E-18,2.38677E-01,4.79611E-02,4.79611E-02,-6.00271E-02,-6.00271E-02,-1.26734E-01,-1.26734E-01,9.84793E-07,3.14139E-07,3.14139E-07,-3.54359E-07,-3.54359E-07,-1.56908E-06,-1.56908E-06
86,40,47,42,39,5.30413E-04,-1.10063E-18,5.31335E-04,-8.24896E-05,4.33875E-04,-7.68646E-05,4.32818E-04,-1.07123E-18,2.56775E-01,3.35909E-03,3.35909E-03,-5.80542E-02,-5.80542E-02,-1.44172E-01,-1.44172E-01,1.05543E-06,9.89303E-08,9.89303E-08,-2.81247E-07,-2.81247E-07,-1.78499E-06,-1.78499E-06
87,8,48,6,7,6.32859E-04,-2.60851E-04,6.33337E-04,-1.71871E-04,7.25129E-04,-1.72750E-04,7.24356E-04,-2.61497E-04,4.41657E-02,-1.97269E-02,-1.97269E-02,-2.19360E-02,-2.19360E-02,-2.24574E-02,-2.24574E-02,1.67256E-07,-6.26002E-08,-6.26002E-08,-7.62761E-08,-7.62761E-08,-2.78043E-07,-2.78043E-07
